제목,URL
"(영상)한국세무사회 ""세무대리 플랫폼 상장 미승인, 당연한 결과""",http://www.edaily.co.kr/news/newspath.asp?newsid=03801526638790848
"세무사회 ""국세청은 '삼쩜삼' 홈택스 접근 차단하라""",https://www.sejungilbo.com/news/articleView.html?idxno=46871
"구재이 세무사회장 ""세무플랫폼 상장 미승인, 다른 기업들에 혁신의지 줄 것""",https://www.taxwatch.co.kr/article/tax/2024/02/15/0002/naver
삼쩜삼 상장 미승인 놓고 세무사회와 갈등 확산,https://www.etnews.com/20240215000235
"세무사회 ""삼쩜삼 상장 '미승인' 환영…하반기 '국민세금 공공플랫폼' 출시""",http://www.taxtimes.co.kr/news/article.html?no=263344
"세무사회 ""삼쩜삼, 코스닥상장 '미승인' 환영…올바른 판단""",http://www.joseilbo.com/news/news_read.php?uid=509931&class=10&grp=
연초부터 줄잇는 상장철회…'파두' 사태로 깐깐해진 거래소,https://biz.sbs.co.kr/article_hub/20000157114?division=NAVER
"한국세무사회 ""삼쩜삼 코스닥 상장 미승인 결정 환영""",https://www.tfmedia.co.kr/news/article.html?no=158486
검찰 무혐의 받은 ‘삼쩜삼’...거래소 심사에서 ‘제동’,https://www.hankyung.com/article/202402143998r
"한국세무사회 ""한국거래소의 '삼쩜삼' 코스닥상장 미승인 환영""",http://www.intn.co.kr/news/articleView.html?idxno=2033922
"(영상)한국세무사회 ""세무대리 플랫폼 상장 미승인, 당연한 결과""",http://www.edaily.co.kr/news/newspath.asp?newsid=03801526638790848
"세무사회 ""국세청은 '삼쩜삼' 홈택스 접근 차단하라""",https://www.sejungilbo.com/news/articleView.html?idxno=46871
"구재이 세무사회장 ""세무플랫폼 상장 미승인, 다른 기업들에 혁신의지 줄 것""",https://www.taxwatch.co.kr/article/tax/2024/02/15/0002/naver
삼쩜삼 상장 미승인 놓고 세무사회와 갈등 확산,https://www.etnews.com/20240215000235
"세무사회 ""삼쩜삼 상장 '미승인' 환영…하반기 '국민세금 공공플랫폼' 출시""",http://www.taxtimes.co.kr/news/article.html?no=263344
"세무사회 ""삼쩜삼, 코스닥상장 '미승인' 환영…올바른 판단""",http://www.joseilbo.com/news/news_read.php?uid=509931&class=10&grp=
연초부터 줄잇는 상장철회…'파두' 사태로 깐깐해진 거래소,https://biz.sbs.co.kr/article_hub/20000157114?division=NAVER
"한국세무사회 ""삼쩜삼 코스닥 상장 미승인 결정 환영""",https://www.tfmedia.co.kr/news/article.html?no=158486
검찰 무혐의 받은 ‘삼쩜삼’...거래소 심사에서 ‘제동’,https://www.hankyung.com/article/202402143998r
"한국세무사회 ""한국거래소의 '삼쩜삼' 코스닥상장 미승인 환영""",http://www.intn.co.kr/news/articleView.html?idxno=2033922
